FLYBASE	FLYBASECG	SYMBOL	GENENAME	BH.Q	ADJ.P	PER	LAG	AMP	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0024989	CG3777	CG3777	uncharacterized protein	0.623328031908643	0.0572696458633959	24	0	22.0191016618752	33.643898434804	37.2310369381622	15.7490801288307	24.7453963173927	23.2166930471594	45.5540586160835	26.7470716714724	31.4001878817492	13.4059621421864	19.2043848519023	15.0932428577532	37.3230287577525	81.2062884350723	92.6179516979325	67.7641256648433	46.4253142575883	56.745697711767	95.6975065512398	85.5673202812342	84.0139758974971	68.9730012739798	40.0660519124953	71.5762817816286	106.491234768653	143.48616882652	141.930303233026	136.602746398998	58.1022623787642	72.279853136961	173.647863891076	137.847023084616	153.651622383409	121.485123748694	43.2940067212604	80.8130083617176	123.761546780483	165.437016287493	140.274879469198	126.701630163746	51.544855657284	64.5995195227483	171.163129095811	154.118667662898	121.112303456535	103.524989460401	47.7792464588385	64.905098835062	151.237678665375
FBgn0023534	CG17778	CG17778	uncharacterized protein	0.220537212401796	0.0089799031986532	28	8	93.8007390479461	641.404644353844	871.383555005082	844.544421908547	829.508720030859	528.411933753349	555.040240506492	636.786052486209	768.902036591552	708.840248268107	724.118275886433	512.164040973092	608.652468972579	512.881821695194	666.486044571396	880.933633642963	660.271136107923	559.477113376953	535.364352687596	550.970062298679	630.104819231228	695.765150351271	818.646898536391	536.254047633789	590.707789443215	519.652611425775	581.914243255406	437.932334043845	639.124886166407	499.461906508213	543.096199823942	551.388092338464	609.368366043293	561.738905538832	603.095582000813	518.317915699292	582.36683401705	571.509692629521	609.969475885416	560.865882858184	651.033937758304	574.11685660358	522.557632537542	564.346297765611	592.441017741551	565.727467657342	639.180141516017	505.394369595683	549.53538202075
FBgn0003575	CG6222	su(sable)	suppressor of sable	0.330717396416831	0.0175406595719096	24	20	137.405841036755	1526.99887412159	1345.63604933643	1641.8416034306	1380.36275979195	1640.95586457323	1727.45785436254	1454.62920551777	1377.58260168392	1537.496283182	1355.60363660487	1626.04536387528	1620.6807487501	1597.41317382149	1426.49805997502	1430.5759862578	1359.74587092225	1619.9123393656	1760.47299787658	1584.0389291087	1468.19545684285	1569.13577898304	1475.9467231549	1625.80411475414	1778.49463878589	1505.63527153774	1359.48954739634	1465.13141725984	1212.52754111749	1604.7751662768	1767.20645021659	1436.077941986	1411.67428064757	1459.89815376635	1360.23728094006	1660.84665460633	1787.6667868292	1602.3095633439	1469.71873714824	1587.99376471896	1432.05055500019	1645.92296924861	1754.70545589613	1554.78538259923	1500.78329366556	1565.42332547697	1366.48644872278	1748.11066195767	1657.84203483571
FBgn0025620	CG13360	CG13360	uncharacterized protein	0.220537212401796	0.0089799031986532	28	2	379.889454527081	1800.49120978516	1984.76885010822	1450.88400686853	1555.73230760651	1692.03258927698	1499.68756128212	1882.58235226133	2073.21753321806	1865.94235566557	1760.02538819199	1672.33130863905	1454.16262044628	1917.96431238098	2195.59026672158	1690.75676504504	1564.01725365564	1293.62457752294	1335.25105838947	1890.8290774341	1853.43027315332	1588.96551684931	1661.1168549667	1451.97600185589	1317.94280294881	1230.29694757334	1392.94454744413	1367.36670660173	574.355151055653	524.638035128953	485.213578526917	1267.36964507647	1496.35727707479	1205.50622796781	529.596454311232	496.953557166884	331.405919712182	2045.40311046355	2029.00825658027	1707.09329707288	1744.68130996503	1440.29632964099	1217.41192482716	1844.89110996469	1945.87100886833	2093.50534242144	1640.42079508679	1585.41521421112	1304.56928925094
FBgn0025633	CG13366	CG13366	uncharacterized protein	1	0.247873827561328	24	0	57.8232367950955	1780.95604295204	1432.50846885881	1702.86928892982	1203.91732518097	1566.66244682232	1436.15163742284	1684.03678177694	1456.4856378996	1521.57670313816	1331.88057296428	1539.51077149083	1158.44939259639	1976.73202111689	1645.33067133974	1717.52777765337	1514.49691844755	1869.94806990807	1770.40387119794	1927.35171413951	1653.64094022634	1705.35745649915	1551.74736190827	2015.49720445411	1796.69826866087	1817.81463884949	1467.96485058158	1150.40940349744	1390.64431267206	1607.21156582074	1609.99439237282	1583.18334721809	1266.7528640814	1441.20813472809	1380.37402825228	1713.79310836056	1511.95356316823	2062.75664364056	1632.61859717699	1680.06361597128	1558.67161346265	2008.95407191871	1841.98731642843	2114.59877837476	1652.17367298623	1452.48697333835	1499.20657777511	1813.01576079273	1855.25915736837
FBgn0040348	CG3703	CG3703	uncharacterized protein	0.451877853755579	0.0324589646464646	24	10	98.3389744923595	1019.08453646068	1140.86534617654	732.332225990628	984.436418713665	923.095715555059	810.382726959802	888.825766313545	1049.89346148208	954.336929996895	1130.79936686789	1008.22862289791	760.815586215724	912.502241099366	1064.19842539193	1121.87274711796	1038.89536571981	1049.79540766769	924.474025551599	973.589144175506	1051.19925940039	1052.70043194412	1217.14168512553	957.758818125602	876.504778480456	1059.66474680667	971.208789265992	747.297377359222	1046.79321892233	1045.21540435133	990.435964415769	996.819144544723	937.624104771486	852.472535022886	1149.80827152743	1104.44444761014	1060.91148156825	930.149378287722	1053.41909485256	978.981262398548	1139.58952616213	1120.93814157783	890.955095823227	1113.96066406344	1173.78007433292	1012.24434139059	1010.79650286254	978.768890432735	860.092142028275
FBgn0024897	CG3100	b6	b6	0.220537212401796	0.0089799031986532	24	0	95.159769053738	96.590547119276	67.3704477928649	41.3413353381806	33.3524906886597	44.5760506505461	115.083937556422	109.045753737541	64.4106418087164	37.7042685248993	38.4087697038046	55.3418904784284	81.823563045842	180.577141388516	123.49060226391	32.627171616406	33.0135568053962	78.0253343536796	195.909046430368	193.048222585711	82.9894152158203	42.2459632803126	33.5688543050637	57.9427042994136	212.072288043558	259.826305712888	155.109545676093	60.2659175289695	53.3397818559147	194.099830334086	853.232713933931	377.536249791448	142.302354820998	79.9517481081147	40.2734946244283	274.950005460556	919.273266919475	283.441041891159	138.464881024434	54.9040397376235	41.4599925939023	80.9768625003464	272.047357503276	209.646717041442	132.214264606718	39.736864641366	50.9645295560944	56.2510856570538	242.442080303272
FBgn0023508	CG3573	Ocrl	Oculocerebrorenal syndrome of Lowe	0.220537212401796	0.0089799031986532	24	10	180.960214980324	1586.68966166721	1744.54001653103	1659.55931857554	1683.76283637911	1508.15638034348	1566.81985819003	1528.69801937723	1802.69283762145	1880.18619044164	1795.04514880428	1670.31887625802	1406.79108394605	1510.86436641042	1837.83072780995	1976.8719622966	1789.95378304257	1686.41120387158	1732.48599124367	1617.4310540965	1870.84780474183	2113.16032653156	1844.12125424269	1623.53185184043	1591.90743256731	1581.25636051388	1941.40379065175	1782.53191624574	1732.59041421266	1707.10394712238	1907.26810175013	1528.66176346074	1820.24791289436	1837.85187209562	1856.60810218614	1721.22418958923	1949.93192594138	1494.71765764644	1952.08332267781	2059.32382892809	1880.26669115049	1777.85156545704	1670.82418733262	1559.31828458932	2047.80719761091	2100.82529117116	1695.63236877256	1606.18484583834	1476.5877176566
FBgn0025625	CG4290	Sik2	Salt-inducible kinase 2	0.076849150779075	0.000794327200577201	24	12	217.473872297091	1924.21393306153	2277.29842605092	2002.10181137761	2290.56298955343	2291.02326989369	1992.39066894555	2036.89238113521	2266.44945864421	2594.89154714696	2557.57219439452	2376.68264200087	1797.24738479639	2000.23910461126	2463.45591133814	2483.0114194229	2489.4285178569	2502.13060847823	2304.86541721995	2081.79029220808	2479.43684965784	2722.70922529035	2844.68968578717	2447.22715805759	2234.49556715422	1996.20284874192	2244.52636684228	1959.31194099739	2096.44392615836	2169.20772729014	2196.68120823526	1898.99704935971	2299.53621226079	2168.04220843823	2435.5395874123	2357.51051979355	2308.84041160479	2129.85697192499	2520.42283433366	2680.16181673045	2980.63730539946	2533.93889958949	2142.37294033829	2150.86199429544	2623.09063902946	2810.86031989452	2727.66409228347	2342.64136728684	2079.22946012473
FBgn0052801	CG32801	CG32801	uncharacterized protein	1	0.558904371091871	24	10	18.1424641980669	28.217463203384	48.7549293237838	29.5295252415576	47.3390190419686	24.1453607690458	25.1746113404672	33.9482063522535	70.851705989588	56.9753391042922	41.7977787953167	25.155404762922	35.8875276516851	24.5755872895614	55.3891671919008	49.3590544966143	47.456987907757	30.1461519093762	35.2094599575316	27.1311015525865	78.8911724891131	70.6973263058293	55.2261796631693	29.5394178781325	31.8563522812211	30.0545353623116	93.2684849817027	73.6583436465183	60.0072545879041	41.4187922470226	52.8804194565418	41.1483650998854	104.76246980687	63.3383978518831	104.711086023514	40.8709467576503	48.8170545634127	23.138044236013	97.7399160172477	43.9232317900988	52.6653959976597	34.574390730485	24.9376744378003	37.3964414182031	110.010342306353	79.4737292827319	56.2733347181876	33.7506513942323	23.089721933645
