FLYBASE	FLYBASECG	SYMBOL	GENENAME	ENTREZID	BH.Q	ADJ.P	PER	LAG	AMP	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0024989	CG3777	CG3777	uncharacterized protein	30979	0.249712420388625	0.0324589646464646	24	2	44.2463963376762	33.643898434804	37.2310369381622	15.7490801288307	24.7453963173927	23.2166930471594	45.5540586160835	26.7470716714724	31.4001878817492	13.4059621421864	19.2043848519023	15.0932428577532	37.3230287577525	81.2062884350723	92.6179516979325	67.7641256648433	46.4253142575883	56.745697711767	95.6975065512398	85.5673202812342	84.0139758974971	68.9730012739798	40.0660519124953	71.5762817816286	106.491234768653	143.48616882652	141.930303233026	136.602746398998	58.1022623787642	72.279853136961	173.647863891076	137.847023084616	153.651622383409	121.485123748694	43.2940067212604	80.8130083617176	123.761546780483	165.437016287493	140.274879469198	126.701630163746	51.544855657284	64.5995195227483	171.163129095811	154.118667662898	121.112303456535	103.524989460401	47.7792464588385	64.905098835062	151.237678665375
FBgn0029521	CG17885	Or1a	Odorant receptor 1a	30978	0.138949132207917	0.0089799031986532	24	8	6.70473078588008	47.752630036496	38.1174901985946	53.1531454348037	47.3390190419686	35.2893734316823	29.9697754053181	41.1493410330345	52.333646469582	36.028523257126	86.9845666821456	28.1740533344726	47.3715365002243	22.4385796991647	29.964631431684	21.7514477442707	26.8235149043844	24.8262427488981	25.2785866361765	32.34862108193	29.712259768627	23.2783879299682	36.8174531087795	22.722629137025	17.2934483812343	35.87154220663	33.4550000477847	45.5342487996659	36.1948519736564	31.6731940712526	22.1526081507134	36.0048194623997	41.031967341024	36.3417036855067	42.2871693556497	29.7243249146547	17.876667868292	28.9225552950162	35.294969672895	37.165811514699	51.544855657284	32.7546859551963	28.3382664065912	38.5296669157244	35.3244218414894	33.4626228558871	35.0381140698149	27.6928421696265	32.325610707103
FBgn0023535	CG18104	arg	arginase	46717	0.186879240689377	0.0175406595719096	28	2	136.433829135973	116.125713952388	98.3963119080001	72.8394955958421	237.770982006251	189.448215264821	128.270638734762	155.338762399705	146.53421011483	132.383876154091	230.452618222827	159.988374292184	84.6945652579768	134.631478194988	99.8821047722801	55.2152135046871	186.732930680522	82.4585919874114	84.863826564307	135.655507762932	98.3578254409722	83.6297640447005	96.3750978435699	81.8014648932899	81.9163344374258	249.161793164971	173.357727520339	229.010486610084	75.2471922610225	25.9882618020534	18.5796068360822	246.890190599312	261.033153935451	149.520152306085	49.3350309149246	31.5820952218207	21.3144886121943	90.2383725204506	69.6849401234081	87.8464635801976	118.777276079828	110.092138904965	71.4124313446098	121.25512823478	70.6488436829788	77.382315354239	200.672835127122	120.290783174315	63.4967353175237
FBgn0023537	CG17896	CG17896	uncharacterized protein	30995	0.33143726167952	0.0572696458633959	24	4	1351.43722677247	4649.36970628066	4680.47321508325	3388.02086271471	4989.96296174205	4411.17167896029	4588.97201006231	5330.89713082962	5460.41215933393	4718.89867404962	5233.75970699196	4625.5758278061	5199.38500617613	4534.73010682167	4235.00124234468	3040.18311933383	3978.13359505024	3679.60383599739	4063.53280176538	4895.07682243012	4433.27406961549	4224.59632803126	4052.08557450156	3910.564474482	4157.70906344623	5304.14074087764	5520.07500788447	6172.56919757824	3350.88129587693	3955.088593	3650.89274329016	6809.02571490353	6722.25847927415	4583.2080019379	4491.50148798936	4004.42389709614	4082.75591545837	4869.40140946893	4534.95110335582	3722.49389421087	4035.06576569304	4140.7382161694	3990.02791004804	4688.15388324565	4164.24470051387	4491.3114114386	3914.7129265275	4208.44660846542	3859.44702120876
FBgn0025635	CG17829	CG17829	uncharacterized protein	47718	0.249712420388625	0.0324589646464646	28	16	30.0244827763113	360.315299366288	360.786476996	320.887507624926	324.91781251533	373.324424198324	314.083246247734	374.459003400614	353.453396925331	389.610774757293	330.993221271022	381.355936205897	325.8587510773	289.564528498745	369.563787657436	329.618092740102	261.013433492663	349.340701538066	346.67775958185	319.312195195825	388.308498355505	396.594757325384	353.014403337121	311.300019177242	337.677334180944	313.148868452473	325.425909555724	330.792925103455	340.041109331456	394.696726118686	393.030144609432	352.847230731517	331.747821055088	345.765352207821	377.564012104015	378.056257508265	382.285666721936	323.932619304182	317.654727056055	399.532473783014	318.23345666671	322.087745226097	367.263932629422	311.637011818359	373.429602324317	373.317386235991	372.67812237894	331.448704717717	341.727884617946
FBgn0025620	CG13360	CG13360	uncharacterized protein	31025	0.0656745775894712	0.00193362193362193	24	6	578.84869840864	1800.49120978516	1984.76885010822	1450.88400686853	1555.73230760651	1692.03258927698	1499.68756128212	1882.58235226133	2073.21753321806	1865.94235566557	1760.02538819199	1672.33130863905	1454.16262044628	1917.96431238098	2195.59026672158	1690.75676504504	1564.01725365564	1293.62457752294	1335.25105838947	1890.8290774341	1853.43027315332	1588.96551684931	1661.1168549667	1451.97600185589	1317.94280294881	1230.29694757334	1392.94454744413	1367.36670660173	574.355151055653	524.638035128953	485.213578526917	1267.36964507647	1496.35727707479	1205.50622796781	529.596454311232	496.953557166884	331.405919712182	2045.40311046355	2029.00825658027	1707.09329707288	1744.68130996503	1440.29632964099	1217.41192482716	1844.89110996469	1945.87100886833	2093.50534242144	1640.42079508679	1585.41521421112	1304.56928925094
FBgn0040340	CG11642	TRAM	TRAM	31042	0.578493546807244	0.15763918951419	28	4	383.110875778794	1783.12661704461	1840.27696865773	2783.64991277083	2253.98283847555	2111.79039956962	2525.85267116021	1883.61108578715	1997.53502909282	3082.53342006899	2275.15477010183	2199.5885924699	1795.81188369032	1545.05648785677	2009.44634419142	2141.68100866665	1878.67771695708	2239.6817565613	2050.27393752703	1498.47160882747	1959.98458404771	2423.53883226446	1755.32622027446	2112.06837828647	2002.39928624819	1755.76656584343	2229.31954863874	1885.65359735087	1184.90515408496	1452.09412818973	1316.29368431013	1653.13556788789	1822.86697463954	1875.23191017215	1209.21167609846	1362.6745203062	1284.3698299219	1513.22809303525	1838.05342065769	2264.58046979336	1772.69481847442	1564.03625436062	1660.62241142624	1462.99411730001	1866.13874242611	1542.41777226355	1349.49827220408	1964.46099140788	1902.59308733235
FBgn0040398	CG14629	CG14629	uncharacterized protein	31055	1	0.805264174482925	24	6	1728.8782248478	6504.12526838001	6232.65287410044	6543.74279352916	9704.49890360356	11281.4554854757	11392.1110270695	6790.67000397652	8210.74656456612	9327.19816042619	8970.70706523271	9559.05380991036	7276.55510665567	5993.23778726738	6868.2567317957	6322.97854043069	5986.80219192856	7849.52596628552	7882.40499715919	5962.58131813381	7677.03318780421	7299.93002233484	6165.84052945266	8123.33991648642	8488.35261070481	5810.22033633334	6774.13061573628	7310.92541756988	4367.19463945302	5740.15732552854	4698.49672874003	7367.61477113447	8657.74510895607	8208.03336096944	4545.87070573234	5194.32577883592	5090.03739342175	5503.38382153569	5817.335001471	6809.79028253416	6353.46372993044	6467.23077137598	7646.79780715457	5447.41496658492	5673.1021477432	5388.52798676207	5929.93536605807	7891.59461702574	7214.38361816737
FBgn0040360	CG14626	CG14626	uncharacterized protein	31064	0.0975970303608865	0.00432043650793651	24	6	17.8678518038737	6.511722277704	12.4103456460541	29.5295252415576	39.8078114671099	36.2180411535687	38.3613125188072	16.4597364132138	20.9334585878328	36.028523257126	29.3714121264388	19.1181076198207	57.4200442426961	34.1921214463462	19.976420954456	15.0586945921874	19.601799353204	23.0529396954053	28.8898132984875	30.2616132701926	15.3684102251519	17.2432503184949	28.1545229655373	29.5394178781325	20.934174356231	25.207029658713	42.5790909699078	38.8380357408915	7.61996883655924	4.87279908788501	6.43140236633616	30.861273824914	27.9366586151653	33.2267005124633	7.04786155927495	6.50219607508072	10.3134622317069	41.6484796248234	35.294969672895	43.0785542556738	30.2545891901449	30.9349811799076	24.9376744378003	30.5970884330753	50.4634597735563	50.1939342838307	39.2851581994894	27.6928421696265	26.5531802236917
FBgn0024897	CG3100	b6	b6	31124	0.0975970303608865	0.00432043650793651	24	22	166.236949773253	96.590547119276	67.3704477928649	41.3413353381806	33.3524906886597	44.5760506505461	115.083937556422	109.045753737541	64.4106418087164	37.7042685248993	38.4087697038046	55.3418904784284	81.823563045842	180.577141388516	123.49060226391	32.627171616406	33.0135568053962	78.0253343536796	195.909046430368	193.048222585711	82.9894152158203	42.2459632803126	33.5688543050637	57.9427042994136	212.072288043558	259.826305712888	155.109545676093	60.2659175289695	53.3397818559147	194.099830334086	853.232713933931	377.536249791448	142.302354820998	79.9517481081147	40.2734946244283	274.950005460556	919.273266919475	283.441041891159	138.464881024434	54.9040397376235	41.4599925939023	80.9768625003464	272.047357503276	209.646717041442	132.214264606718	39.736864641366	50.9645295560944	56.2510856570538	242.442080303272
